,Non_Res_Travel,Country,Year,Non-resident travellers (thousands)
124,ARRIVALS,EL,2016.0,0.0
125,ARRIVALS,EL,2017.0,0.0
126,ARRIVALS,EL,2018.0,12.2
127,ARRIVALS,EL,2019.0,5.9
128,ARRIVALS,EL,2020.0,0.0
129,ARRIVALS,EL,2021.0,0.0
130,ARRIVALS,GE,2012.0,16.4
131,ARRIVALS,GE,2013.0,20.7
132,ARRIVALS,GE,2014.0,12.1
133,ARRIVALS,GE,2015.0,12.2
134,ARRIVALS,GE,2016.0,10.4
135,ARRIVALS,GE,2017.0,18.1
136,ARRIVALS,GE,2018.0,30.4
137,ARRIVALS,GE,2019.0,33.3
138,ARRIVALS,GE,2020.0,10.1
139,ARRIVALS,GE,2021.0,10.3
140,ARRIVALS,HR,2012.0,4.2
141,ARRIVALS,HR,2013.0,3.9
142,ARRIVALS,HR,2014.0,3.5
143,ARRIVALS,HR,2015.0,0.0
144,ARRIVALS,HR,2016.0,4.7
145,ARRIVALS,HR,2017.0,6.2
146,ARRIVALS,HR,2018.0,5.0
147,ARRIVALS,HR,2019.0,7.9
148,ARRIVALS,HR,2020.0,0.0
149,ARRIVALS,HR,2021.0,0.0
150,ARRIVALS,EE,2012.0,980.3
151,ARRIVALS,EE,2013.0,1067.6
152,ARRIVALS,EE,2014.0,1186.8
153,ARRIVALS,EE,2015.0,1328.3
154,ARRIVALS,EE,2016.0,1397.5
155,ARRIVALS,EE,2017.0,1435.6
156,ARRIVALS,EE,2018.0,1356.6
157,ARRIVALS,EE,2019.0,1468.4
158,ARRIVALS,EE,2020.0,791.2
159,ARRIVALS,EE,2021.0,370.9
160,ARRIVALS,IN,2012.0,7.7
161,ARRIVALS,IN,2013.0,0.0
162,ARRIVALS,IN,2014.0,16.7
163,ARRIVALS,IN,2015.0,22.7
164,ARRIVALS,IN,2016.0,5.1
165,ARRIVALS,IN,2017.0,18.6
166,ARRIVALS,IN,2018.0,14.4
167,ARRIVALS,IN,2019.0,19.2
168,ARRIVALS,IN,2020.0,0.0
169,ARRIVALS,IN,2021.0,0.0
170,ARRIVALS,IS,2012.0,8.1
171,ARRIVALS,IS,2013.0,4.8
172,ARRIVALS,IS,2014.0,0.0
173,ARRIVALS,IS,2015.0,0.0
174,ARRIVALS,IS,2016.0,0.0
175,ARRIVALS,IS,2017.0,0.0
176,ARRIVALS,IS,2018.0,0.0
177,ARRIVALS,IS,2019.0,8.9
178,ARRIVALS,IS,2020.0,0.0
179,ARRIVALS,IS,2021.0,5.8
180,ARRIVALS,IT,2012.0,60.4
181,ARRIVALS,IT,2013.0,56.0
182,ARRIVALS,IT,2014.0,55.4
183,ARRIVALS,IT,2015.0,56.2
184,ARRIVALS,IT,2016.0,0.0
185,ARRIVALS,IT,2017.0,0.0
186,ARRIVALS,IT,2018.0,48.6
187,ARRIVALS,IT,2019.0,66.8
188,ARRIVALS,IT,2020.0,10.5
189,ARRIVALS,IT,2021.0,18.0
190,ARRIVALS,IL,2012.0,16.5
191,ARRIVALS,IL,2013.0,12.1
192,ARRIVALS,IL,2014.0,11.9
193,ARRIVALS,IL,2015.0,15.2
194,ARRIVALS,IL,2016.0,17.3
195,ARRIVALS,IL,2017.0,27.5
196,ARRIVALS,IL,2018.0,36.7
197,ARRIVALS,IL,2019.0,38.0
198,ARRIVALS,IL,2020.0,0.0
199,ARRIVALS,IL,2021.0,0.0
200,ARRIVALS,IE,2012.0,25.4
201,ARRIVALS,IE,2013.0,38.3
202,ARRIVALS,IE,2014.0,34.2
203,ARRIVALS,IE,2015.0,23.0
204,ARRIVALS,IE,2016.0,33.3
205,ARRIVALS,IE,2017.0,76.1
206,ARRIVALS,IE,2018.0,58.1
207,ARRIVALS,IE,2019.0,68.9
208,ARRIVALS,IE,2020.0,30.2
209,ARRIVALS,IE,2021.0,14.8
210,ARRIVALS,JP,2012.0,9.3
211,ARRIVALS,JP,2013.0,0.0
212,ARRIVALS,JP,2014.0,0.0
213,ARRIVALS,JP,2015.0,0.0
214,ARRIVALS,JP,2016.0,0.0
215,ARRIVALS,JP,2017.0,0.0
216,ARRIVALS,JP,2018.0,0.0
217,ARRIVALS,JP,2019.0,8.2
218,ARRIVALS,JP,2020.0,0.0
219,ARRIVALS,JP,2021.0,0.0
220,ARRIVALS,CA,2012.0,9.4
221,ARRIVALS,CA,2013.0,7.4
222,ARRIVALS,CA,2014.0,7.1
223,ARRIVALS,CA,2015.0,8.2
224,ARRIVALS,CA,2016.0,14.8
225,ARRIVALS,CA,2017.0,0.0
226,ARRIVALS,CA,2018.0,0.0
227,ARRIVALS,CA,2019.0,19.1
228,ARRIVALS,CA,2020.0,0.0
229,ARRIVALS,CA,2021.0,0.0
230,ARRIVALS,KZ,2012.0,33.4
231,ARRIVALS,KZ,2013.0,17.6
232,ARRIVALS,KZ,2014.0,28.9
233,ARRIVALS,KZ,2015.0,22.6
234,ARRIVALS,KZ,2016.0,11.5
235,ARRIVALS,KZ,2017.0,12.4
236,ARRIVALS,KZ,2018.0,35.8
237,ARRIVALS,KZ,2019.0,32.9
238,ARRIVALS,KZ,2020.0,0.0
239,ARRIVALS,KZ,2021.0,0.0
240,ARRIVALS,RU,2012.0,476.2
241,ARRIVALS,RU,2013.0,578.6
242,ARRIVALS,RU,2014.0,622.8
243,ARRIVALS,RU,2015.0,568.9
244,ARRIVALS,RU,2016.0,597.9
245,ARRIVALS,RU,2017.0,717.7
246,ARRIVALS,RU,2018.0,703.9
247,ARRIVALS,RU,2019.0,924.1
248,ARRIVALS,RU,2020.0,300.4
